,Choose the coworkers you recognize as the most valuable players (MVP) in the company due to their outstanding contribution to the company’s performance and productivity.,personId,Summary,description
11,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
12,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
13,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
14,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
15,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
16,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
17,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
18,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
19,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
20,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
21,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
22,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
23,Veronica Moyer,453bc5d6-d30e-4f16-8bb4-39b1a9274aee,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
24,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
25,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
26,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
27,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
28,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
29,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
30,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
31,Jill Moreno,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
32,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
33,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
34,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
35,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
36,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
37,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
38,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
39,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
40,Dawn Patton,55e715de-6db1-43e0-8dbe-2e576f4ba849,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
41,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
42,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
43,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
44,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
45,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
46,Melissa Aguirre,b6076fa5-701d-44ca-9362-9310ec79daf2,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
47,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
48,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
49,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
50,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
51,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
52,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
53,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
54,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
55,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
56,Erin Kelly,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
57,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
58,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
59,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
60,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
61,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
62,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
63,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
64,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
65,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
66,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
67,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
68,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
69,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
70,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
71,Howard Lynn,7883fd04-ead8-4dc1-b885-7075f153b226,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
72,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
73,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
74,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
75,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
76,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
77,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
78,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
79,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
80,Charles Hines,647667cc-9e82-45bf-b069-abaddd3ab163,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
81,Spencer Roberts,a1caa1d0-ae5d-4e44-94e1-da975dc82332,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
82,Spencer Roberts,a1caa1d0-ae5d-4e44-94e1-da975dc82332,Can cope with stress,"I choose this coworker as the MVP because they are patient and adaptable, can keep their composure and can deliberate thoughtfully, irrespective of the circumstances and external demands."
83,Spencer Roberts,a1caa1d0-ae5d-4e44-94e1-da975dc82332,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
84,Spencer Roberts,a1caa1d0-ae5d-4e44-94e1-da975dc82332,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
85,Michael Potter,b11f670d-77f1-4973-948b-911ecaaa6899,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
86,Michael Potter,b11f670d-77f1-4973-948b-911ecaaa6899,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
87,Michael Potter,b11f670d-77f1-4973-948b-911ecaaa6899,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
88,Timothy Adams,410b1e89-0d45-408c-9d37-6b231ba0a9df,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
89,Timothy Adams,410b1e89-0d45-408c-9d37-6b231ba0a9df,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
90,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
91,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
92,Jeremy Walker,21b09017-dd97-402a-b7f7-0a31e500139d,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
93,Richard Campbell,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
94,Richard Campbell,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
95,Richard Campbell,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
96,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
97,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
98,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Is self-sacrificing,I choose this coworker as the MVP because they are exceptionally hard-working and go above and beyond what is required. They are willing to take on several tasks simultaneously and sacrifice their free time for their work commitments.
99,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
100,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
101,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Has leadership skills,"I choose this coworker as the MVP because they lead by example and support others through their actions and vision. They are a strategic thinker and decision-maker whose opinion is highly respected and valued. They are able to distribute, organise, coordinate work, give useful feedback, and identify the potential in others."
102,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
103,David Flores,ae3fc69c-6619-4f00-b373-1dfb98231d3f,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
104,Natalie Gonzalez,ef7a3e67-9109-49ee-a685-1a061be191bc,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
105,Natalie Gonzalez,ef7a3e67-9109-49ee-a685-1a061be191bc,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
106,Natalie Gonzalez,ef7a3e67-9109-49ee-a685-1a061be191bc,Shows motivation and enthusiasm,I choose this coworker as the MVP because they exhibit high enthusiasm for work and new knowledge. They are willing to dedicate extra energy and time to get the job done well and on time.
107,Natalie Gonzalez,ef7a3e67-9109-49ee-a685-1a061be191bc,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
108,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Cares for others,"I choose this coworker as the MVP because they care for others. They are willing to lend a helping hand, they are empathetic, friendly, non-confrontational, open to others and respectful. They know how to listen to others, and they can be trusted and confided in."
109,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has good communication skills,"I choose this coworker as the MVP because they can communicate well and efficiently with others. They are clear, comprehensible, give sensible ideas and make sound arguments."
110,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
111,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Cares for the team,"I choose this coworker as the MVP because they value cohesiveness and a good team spirit. They include others in their own work and in their decisions, they motivate and bring others together as a team, and they know how to make the atmosphere in the team pleasant and easy-going."
112,Steven Rollins,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Is embedded in the company,"I choose this coworker as the MVP because they are essential to the company thanks to their knowledge of the company's vision, their entrepreneurial skills, their involvement in work processes, their ability to integrate departments, or thanks to their networking skills."
113,Teresa Schultz,1c85d7ca-6e37-430c-9159-6192a148e5d7,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
114,Teresa Schultz,1c85d7ca-6e37-430c-9159-6192a148e5d7,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
115,Angela Mendoza,2bb9ee9e-d14d-4350-9a2a-e81c3b8456f3,Has knowledge and experience,"I choose this coworker as the MVP because they are both professional and competent, have a wealth of knowledge and experience in their area of expertise, and because they contribute to finding innovative solutions."
116,Angela Mendoza,2bb9ee9e-d14d-4350-9a2a-e81c3b8456f3,Has an appropriate work attitude,"I choose this coworker as the MVP because they are organised and carry out all their duties in a timely manner, while taking ownership of the quality and accuracy of their work. If they encounter problems, they persevere until they find a viable solution."
