,personId,name,team,department,division
50,548254c9-d19f-4815-9a88-b26afdfe0b7b,Donna Wilson,Access Team,IT Operations,IT Security
51,fc368c47-6b49-45ca-9b00-677c5b907c11,Teresa Williams,Tech & Quality,IT Operations,Tech & Quality
52,653cb4b7-2400-4282-98f0-db66245f9091,Kristy Cruz,SysOps,IT Operations,SRE
53,4e24e856-5c88-47f4-b10b-636039048568,Kayla White,SRE,IT Operations,SRE
54,f2f2ad6c-909e-49ec-b4dc-baf0212d5b5e,Morgan Jackson,Access Team,IT Operations,IT Security
55,61499509-0dc2-44e4-be66-899460d9bcc7,Charles Figueroa,IT Service Desk,IT Operations,IT support
56,e3d827e6-1f01-4803-aaed-9b38fc68b13e,Danielle Tucker,IT Service Desk,IT Operations,IT support
57,90a51e7c-ff9c-4678-935a-a264dbce6625,Emily Nelson,L1 support,IT Operations,L1 support
58,97a68224-992e-43d5-9a1a-9921164d9278,Robert Thomas,NRE,IT Operations,SRE
59,5d28e324-07e1-47bf-bc6e-ded52f29c9c9,Rodney Weaver,Product Security,IT Operations,IT Security
60,1b40bac2-ca85-4de7-aef5-67aec799b4b2,Richard Campbell,Security Operation Center,IT Operations,IT Security
61,bff74939-99f0-4c63-b505-ccf98a9b0dbb,Michelle Davis,L1 support,IT Operations,L1 support
62,856167f8-769f-46ef-9ac9-a5cd479d4a72,Julian Franklin,IT Service Desk,IT Operations,IT support
63,1588f110-6d46-4d7b-b4ee-15850ed35d7b,Jill Moreno,L1 support,IT Operations,L1 support
64,4de89b6f-cbc5-4711-961f-320f71860e58,Taylor Weiss,Governance Risk & Control,IT Operations,IT Security
65,1edeacda-872b-4234-8dff-2fd1ce8dadc1,Ms. Tracy Simmons,NRE,IT Operations,SRE
66,88d78b2c-9c37-4456-bd71-d41a2b91c153,Brittany Torres,IT Service Desk,IT Operations,IT support
67,b9467c16-fd19-4944-82d6-7903af84b644,George Luna,L1 support,IT Operations,L1 support
68,279e4ce5-be1f-402e-b67d-3cc0572cf596,Ryan Berry,IT Automation,IT Operations,IT support
69,55e715de-6db1-43e0-8dbe-2e576f4ba849,Dawn Patton,IT Finance,IT Operations,IT support
70,4507277b-0026-491c-9b0d-ed7d49a52f2b,Alison Davis,L1 support,IT Operations,L1 support
71,a7053650-77b9-437c-a152-5a2b09cf5492,Joshua Williams,Product Security,IT Operations,IT Security
72,0929b435-5ac8-4e5a-97a9-d17b23a2849c,Alan Miller,SOC Team,IT Operations,IT Security
73,2bb9ee9e-d14d-4350-9a2a-e81c3b8456f3,Angela Mendoza,Tech & Quality,IT Operations,Tech & Quality
74,7d091482-ed48-4123-a1bf-99a4177f24b5,Tanner Franklin,Tech & Quality,IT Operations,Tech & Quality
75,eee2d328-50ca-4408-99c8-5ad923f3e534,Heather Murray,IT Service Desk,IT Operations,IT support
76,75c849f5-bd4a-48df-95c1-5fac5c30c1dc,Joseph Cook,Tech & Quality,IT Operations,Tech & Quality
77,5601d08c-7882-4abe-b912-2054aba79ad5,Billy Munoz,IT Automation,IT Operations,IT support
78,faacd95f-5e72-44bd-9538-0becaa6b1776,Stephen Dawson,SRE,IT Operations,SRE
79,5de418cd-9800-48f8-b628-3becc4c736a5,Erik Martin,IT Support Infrastructure,IT Operations,IT support
80,a9fc0af9-80e5-4afd-9fd4-31343ee8def0,Michelle Conner,IT Support Infrastructure,IT Operations,IT support
81,bf477ca1-f0a0-4902-ba6b-3201e6cf2be3,Christopher Quinn,Tech & Quality,IT Operations,Tech & Quality
82,9c462d21-f4f0-47be-9740-9687f51a7f6b,Ashley Weber,Security Service Desk,IT Operations,IT support
83,2a2b1d2f-4d21-4d7a-9e40-389e13759a2e,Rachel Buchanan,Atlassian,IT Operations,IT support
84,ab87cb79-bcf6-4e62-b707-105fa2acaa0b,Cesar Leon,SRE,IT Operations,SRE
85,d4a7eaf6-386c-48d6-85ea-7c9e4255da4e,Lori Compton,Access Team,IT Operations,IT Security
86,aeeaf371-5bd8-4e47-aef5-92994269514e,Robert Graham,Tech & Quality,IT Operations,Tech & Quality
87,9c91ca64-5d8a-473b-be4e-46e14230ae14,Alicia Gilbert,NRE,IT Operations,SRE
88,ef7a3e67-9109-49ee-a685-1a061be191bc,Natalie Gonzalez,Tech & Quality,IT Operations,Tech & Quality
89,1cab345e-3fa6-4c18-841a-049344dca1f4,Teresa Navarro,IT support,IT Operations,IT support
90,b11f670d-77f1-4973-948b-911ecaaa6899,Michael Potter,Network&Endpoint Security,IT Operations,IT Security
91,52585499-962b-408e-8633-5c9a1f779d0a,Randy Johnson,SRE,IT Operations,SRE
92,df98d372-0d03-4824-adaa-cddbb8e64fed,Richard Lopez,IT Service Desk,IT Operations,IT support
93,8b0c2401-aeb5-4788-beb6-14f2f738b3f2,Karen Hubbard,NRE,IT Operations,SRE
94,cd3c2ec6-1510-4bcc-a853-b59a2af40295,Christian Hernandez,IT Automation,IT Operations,IT support
95,4c29e8d9-b64a-422c-ae0f-a4ed56af0390,Christian Mora,Security Infrastructure,IT Operations,IT Security
96,effb7664-ad47-411d-91ab-b5d86d7f8dba,Darren Stephens,IT support,IT Operations,IT support
97,e6eb0bf1-6643-440b-b843-4956223e1a30,David Freeman,IT Support Infrastructure,IT Operations,IT support
98,20e9221c-39b1-46c0-8ba9-1890cf72f61e,Sheri Washington,Tech & Quality,IT Operations,Tech & Quality
99,0cbd1614-654f-40e9-ab1e-567b57e318a6,Kristen Brown,SRE,IT Operations,SRE
100,ff043dfe-87f5-4020-be4f-4fa4a7781cd0,Allison Baker,Atlassian,IT Operations,IT support
101,81afb212-89b4-4205-8524-66a0b0be1136,Jay Johnson,SRE,IT Operations,SRE
102,9c9617ed-8d70-4d8a-a0db-d7211efe0d13,Andrew Murphy,Product Security,IT Operations,IT Security
103,3b3461be-e6e7-4ea2-abf4-160d96cdcf5f,Cheryl Rodriguez,Tech & Quality,IT Operations,Tech & Quality
104,77518398-2545-4f67-b7ff-075540d47720,Michael Norris,SRE,IT Operations,SRE
105,3e515af2-73a9-468c-a776-16b29722e1ee,Lonnie Noble,Security Operation Center,IT Operations,IT Security
106,ec4b8f67-e4bc-48ff-888b-9c22c8c61dbb,Susan Burns,Product Security,IT Operations,IT Security
107,0b361e4f-062d-4036-8600-7102c03415db,Jason Smith,IT Service Desk,IT Operations,IT support
108,b6076fa5-701d-44ca-9362-9310ec79daf2,Melissa Aguirre,IT Service Desk,IT Operations,IT support
109,ca578215-bd9a-4bf0-9787-7eab529e3146,Laurie Smith,SysOps,IT Operations,SRE
110,dac8a244-42d8-4b91-a802-0c0b7b2d934f,Kimberly Alvarado,IT Finance,IT Operations,IT support
111,2548151f-a790-4d4f-9420-1068f7346b7f,Jeremy Garner,Tech & Quality,IT Operations,Tech & Quality
112,4432715f-3dfd-4c00-8780-8a166e774167,Linda Young,L1 support,IT Operations,L1 support
113,a339d645-d308-4906-8c05-c8a3687de22e,Tony Knox,Network&Endpoint Security,IT Operations,IT Security
114,00616d01-c84e-4ea5-b960-5431e069af91,Alyssa Durham,IT Service Desk,IT Operations,IT support
115,647667cc-9e82-45bf-b069-abaddd3ab163,Charles Hines,Tech & Quality,IT Operations,Tech & Quality
116,1302a639-eb60-46ff-9df7-14fecf4f6b60,Andrew Warner,L1 support,IT Operations,L1 support
117,1c85d7ca-6e37-430c-9159-6192a148e5d7,Teresa Schultz,Tech & Quality,IT Operations,Tech & Quality
118,077cdac8-969f-42f3-8b75-19cdcc8e1c79,Jonathan Hutchinson,Access Team,IT Operations,IT Security
119,ae3fc69c-6619-4f00-b373-1dfb98231d3f,David Flores,Tech & Quality,IT Operations,Tech & Quality
120,3045fd68-a7f5-45f1-a670-bae2fc4d26bd,Angela Gregory,SRE,IT Operations,SRE
121,04714585-0e8f-4303-9732-3f58689eba56,Christina Gordon MD,SRE,IT Operations,SRE
122,8f6dfff8-baad-420f-87f6-42d8d7e03958,Anthony Rivera,Tech & Quality,IT Operations,Tech & Quality
123,f0e5c994-6793-4f5e-8173-6e7b6911cd5f,Chris Mcconnell,IT Automation,IT Operations,IT support
124,0bb3f53a-53f2-4b78-a770-cff4e5d446d2,Donald Kennedy,L1 support,IT Operations,L1 support
125,fa234ca2-e5ee-4f3d-9353-01be15d222b1,Corey Scott,Atlassian,IT Operations,IT support
126,b34e510f-0307-45fb-8096-ff33d8339bcc,Brooke Todd,Security Infrastructure,IT Operations,IT Security
127,6ef3e590-18a1-4e73-99be-f097b854f28b,Andrea Miller,L1 support,IT Operations,L1 support
128,39b83de4-efbe-454a-95d7-469a009be9af,Brenda Stephenson,IT Infrastructure,IT Operations,SRE
129,8f6ce9ad-ac0a-4688-b14a-785289af11e6,Chad Brown,IT Service Desk,IT Operations,IT support
130,21958872-41b9-41f8-a68b-d5a3d2d5dac3,Katherine Mccormick,Tech & Quality,IT Operations,Tech & Quality
131,d724a0d4-7fe0-4d98-80c2-8ce89b62a934,David Robinson,SRE,IT Operations,SRE
132,ad6caa54-ab74-4731-ac41-d4303ac74fc3,Kimberly Flores,Security Infrastructure,IT Operations,IT Security
133,a3bfeeac-d080-4a38-abea-1f9acfb5b8ff,Debra Mann,L1 support,IT Operations,L1 support
134,b8e8f89e-3768-4443-aa6b-1f00488563d2,Colleen Blankenship,Tech & Quality,IT Operations,Tech & Quality
135,10528e46-d904-47eb-9f44-5d6cd2d4c92a,Erin Kelly,Governance Risk & Control,IT Operations,IT Security
136,8830b0d8-88b3-41ae-a69f-a262f5d22770,Michelle Jackson,SysOps,IT Operations,SRE
137,6ffe1069-c805-47a1-b4e8-d61f1d2d2d9f,Steven Rollins,Tech & Quality,IT Operations,Tech & Quality
138,24b27130-e539-4e20-91a0-9c2388eb4bb7,Brenda Lee,IT Service Desk,IT Operations,IT support
